id,abreviacion,nombre,domicilio,codigoPostal,numeroLongitud,numeroLatitud,entidad,estado,institucion,jurisdicciones_id,localidad,municipios_id,tipologia,nivelAtencion,activo
CSIMO000136,NULL,MARIANO MATAMOROS,DOMICILIO CONOCIDO,30870,-92.7419,15.2547,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,MARIANO MATAMOROS,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000141,NULL,LA PALMA (ACAPETAHUA),DOMICILIO CONOCIDO,99999,-92.8372,15.1721,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,LA PALMA,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000153,NULL,SOCONUSCO,DOMICILIO CONOCIDO,30870,-92.7262,15.3162,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,SOCONUSCO,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000165,NULL,VEINTE DE ABRIL,DOMICILIO CONOCIDO,30633,-92.7927,15.2766,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,VEINTE DE ABRIL,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000170,NULL,ALTAMIRANO,20 DE NOVIEMBRE,30190,-92.0431279,16.720231,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,9,ALTAMIRANO,4,HOSPITAL RURAL,SEGUNDO NIVEL,1
CSIMO000182,NULL,LUIS ESPINOZA (ALTAMIRANO),DOMICILIO CONOCIDO,30197,-91.6228,16.5873,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,9,LUIS ESPINOZA,4,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000194,NULL,PUEBLA VIEJO,DOMICILIO CONOCIDO,30194,-91.9495,16.6494,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,9,PUEBLA VIEJO,4,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000206,NULL,PUERTO RICO (ALTAMIRANO),DOMICILIO CONOCIDO,30195,-91.8771,16.6067,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,9,PUERTO RICO,4,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000211,NULL,VENUSTIANO CARRANZA (ALTAMIRANO),DOMICILIO CONOCIDO,30195,-91.8168,16.6688,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,9,VENUSTIANO CARRANZA,4,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000223,NULL,AMATÁN (AMATÁN),DOMICILIO CONOCIDO,29700,-92.8186,17.3736,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,AMATAN,5,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000235,NULL,SAN ANTONIO TRES PICOS (TRES PICOS MONTAÑA),DOMICILIO CONOCIDO,99999,-92.8611,17.3239,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,SAN ANTONIO TRES PICOS,5,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000240,NULL,AMATENANGO DE LA FRONTERA,DOMICILIO CONOCIDO,30930,-92.1151,15.4343,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,AMATENANGO DE LA FRONTERA,6,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000252,NULL,GUADALUPE VICTORIA (AMATENANGO DE LA FRONTERA),DOMICILIO CONOCIDO,30946,-92.0632,15.6053,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,GUADALUPE VICTORIA,6,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000264,NULL,MONTE ORDÓÑEZ,DOMICILIO CONOCIDO,30945,-92.1715,15.5616,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,MONTE ORDOÑEZ,6,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000276,NULL,NUEVO AMATENANGO,DOMICILIO CONOCIDO,30935,-92.1086,15.5067,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,NUEVO AMATENANGO,6,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000281,NULL,PACAYALITO,DOMICILIO CONOCIDO,30930,-92.0932,15.5951,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,PACAYALITO,6,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000293,NULL,AMATENANGO DEL VALLE,DOMICILIO CONOCIDO,29430,-92.4379,16.5235,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,2,AMATENANGO DEL VALLE,7,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000305,NULL,CRUZ QUEMADA,DOMICILIO CONOCIDO,99999,-92.3339,16.5019,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,2,CRUZ QUEMADA,7,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000310,NULL,NUEVA COLOMBIA,DOMICILIO CONOCIDO,30385,-92.7204,15.6971,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,4,NUEVA COLOMBIA,8,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000322,NULL,EMILIANO ZAPATA (ARRIAGA),DOMICILIO CONOCIDO,30462,NULL,NULL,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,8,EMILIANO ZAPATA,9,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000334,NULL,PUNTA FLOR,DOMICILIO CONOCIDO,30465,-93.978,16.1025,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,8,PUNTA FLOR,9,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000346,NULL,BEJUCAL DE OCAMPO,DOMICILIO CONOCIDO,30950,-92.1584,15.4554,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,BEJUCAL DE OCAMPO,10,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000351,NULL,LAS TABLAS,DOMICILIO CONOCIDO,30954,-92.1983,15.4619,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,LAS TABLAS,10,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000363,NULL,EMILIANO ZAPATA (BELLA VISTA),DOMICILIO CONOCIDO,30133,-92.2385,15.6689,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,EMILIANO ZAPATA,11,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000375,NULL,LA HACIENDA,DOMICILIO CONOCIDO,30133,-92.2808,15.6495,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,LA HACIENDA,11,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000380,NULL,EL PROGRESO (BELLA VISTA),DOMICILIO CONOCIDO,30135,-92.2164,15.5862,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,EL PROGRESO,11,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000392,NULL,LA RINCONADA,DOMICILIO CONOCIDO,30137,-92.268,15.5934,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,LA RINCONADA,11,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000404,NULL,LA INDEPENDENCIA (BELLA VISTA),DOMICILIO CONOCIDO,30918,-92.2802,15.5675,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,10,LA INDEPENDENCIA,11,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000416,NULL,BERRIOZÁBAL (BERRIOZÁBAL),DOMICILIO CONOCIDO,29130,-93.2674,16.7994,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,BERRIOZABAL,12,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000421,NULL,LAS MARAVILLAS (BERRIOZÁBAL),DOMICILIO CONOCIDO,29136,-93.3198,16.9589,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,LAS MARAVILLAS,12,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000433,NULL,BOCHIL,CALLEJÓN EL NARANJO,29770,-92.895304,16.992442,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,BOCHIL,13,HOSPITAL RURAL,SEGUNDO NIVEL,1
CSIMO000445,NULL,GARRIDO CANAVAL (CHAVARRÍA),DOMICILIO CONOCIDO,29777,-93.0269,17.0734,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,GARRIDO CANAVAL (CHAVARRIA),13,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000450,NULL,LUIS ESPINOZA (BOCHIL),DOMICILIO CONOCIDO,29776,-93.0274,17.0308,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,LUIS ESPINOZA,13,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000462,NULL,EL COPAL (BOCHIL),DOMICILIO CONOCIDO,29774,-92.9281,16.9661,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,EL COPAL,13,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000474,NULL,ÁLVARO OBREGÓN,DOMICILIO CONOCIDO,29843,-92.8084,17.0281,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,ALVARO OBREGON,14,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000486,NULL,PLÁTANOS,DOMICILIO CONOCIDO,29840,-92.7434,17.0048,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,PLATANOS,14,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000491,NULL,SAN CAYETANO (EL BOSQUE),DOMICILIO CONOCIDO,29845,-92.7584,16.9603,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,SAN CAYETANO,14,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000503,NULL,SAN PEDRO NICHTALUCUM,DOMICILIO CONOCIDO,29840,-92.7269,17.0344,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,5,SAN PEDRO NICHTALUCUM,14,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000515,NULL,AGUA CALIENTE (CACAHOATÁN),DOMICILIO CONOCIDO,30853,-92.155,15.1636,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,AGUA CALIENTE,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000520,NULL,EL ÁGUILA,DOMICILIO CONOCIDO,30852,-92.1833,15.0928,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,EL AGUILA,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000532,NULL,AGUSTÍN DE ITURBIDE,DOMICILIO CONOCIDO,30893,-92.1988,15.0744,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,AGUSTIN DE ITURBIDE,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000544,NULL,AHUACATLÁN (CACAHOATÁN),DOMICILIO CONOCIDO,30894,-92.1802,15.0391,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,AHUACATLAN,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000556,NULL,FAJA DE ORO,DOMICILIO CONOCIDO,30893,-92.1563,15.0312,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,FAJA DE ORO,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000561,NULL,EL PLATANAR,DOMICILIO CONOCIDO,99999,-92.1628,15.0826,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,EL PLATANAR,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000573,NULL,SALVADOR URBINA (CACAHOATÁN),DOMICILIO CONOCIDO,30910,-92.2083,15.0347,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,SALVADOR URBINA,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000585,NULL,TOQUIÁN LAS NUBES (TOQUIÁN GUARUMO),DOMICILIO CONOCIDO,30893,-92.19,15.0513,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,TOQUIAN LAS NUBES (TOQUIAN GUARUMO),15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000590,NULL,UNIÓN ROJA,DOMICILIO CONOCIDO,30892,-92.2168,15.0451,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,UNION ROJA,15,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000602,NULL,CATAZAJÁ,DOMICILIO CONOCIDO,29980,-92.0136,17.7249,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,6,CATAZAJA,16,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000614,NULL,CUYO (ÁLVARO OBREGÓN),DOMICILIO CONOCIDO,99999,-92.0002,17.8494,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,6,CUYO (ALVARO OBREGON),16,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000626,NULL,LOMA BONITA (CATAZAJÁ),DOMICILIO CONOCIDO,29980,-92.077,17.7864,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,6,LOMA BONITA,16,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000631,NULL,IGNACIO ZARAGOZA (CATAZAJÁ),DOMICILIO CONOCIDO,29980,-91.9919,17.7861,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,6,IGNACIO ZARAGOZA,16,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000643,NULL,ABELARDO L. RODRÍGUEZ,DOMICILIO CONOCIDO,30416,-93.8003,16.669,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,ABELARDO L. RODRIGUEZ,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000655,NULL,ROSENDO SALAZAR,DOMICILIO CONOCIDO,30425,-94.003,16.4712,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,ROSENDO SALAZAR,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000660,NULL,CONSTITUCIÓN (EL CHAYOTAL),DOMICILIO CONOCIDO,99999,-93.9374,16.9444,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,CONSTITUCION (EL CHAYOTAL),17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000672,NULL,LÁZARO CÁRDENAS (CINTALAPA),DOMICILIO CONOCIDO,30410,-93.7934,16.6045,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,LAZARO CARDENAS,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000684,NULL,TEHUACAN,DOMICILIO CONOCIDO,30427,-93.9616,16.5928,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,TEHUACAN,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000696,NULL,TRIUNFO DE MADERO,DOMICILIO CONOCIDO,30429,-93.7682,16.7722,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,TRIUNFO DE MADERO,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000701,NULL,VILLAMORELOS,DOMICILIO CONOCIDO,30420,-93.9268,16.4786,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,VILLAMORELOS,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000713,NULL,RAFAEL CAL Y MAYOR,DOMICILIO CONOCIDO,30400,NULL,NULL,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,NO ESPECIFICADO,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000725,NULL,VENUSTIANO CARRANZA (CINTALAPA),DOMICILIO CONOCIDO,30415,-93.6727,16.8528,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,VENUSTIANO CARRANZA,17,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000730,NULL,COAPILLA,DOMICILIO CONOCIDO,29650,-93.1602,17.1323,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,COAPILLA,18,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000742,NULL,EFRAÍN A. GUTIÉRREZ (COMITÁN DE DOMÍNGUEZ),DOMICILIO CONOCIDO,99999,-92.199,16.3431,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,3,EFRAIN A. GUTIERREZ,19,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000754,NULL,LA FLORESTA,DOMICILIO CONOCIDO,99999,-92.3113,16.5078,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,3,LA FLORESTA,19,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000766,NULL,FRANCISCO SARABIA (COMITÁN DE DOMÍNGUEZ),DOMICILIO CONOCIDO,30100,-92.1047,16.1568,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,3,FRANCISCO SARABIA,19,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000771,NULL,LOS RIEGOS,DOMICILIO CONOCIDO,30107,-92.1241,16.3048,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,3,LOS RIEGOS,19,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000783,NULL,YOCNAJAB EL ROSARIO,DOMICILIO CONOCIDO,30109,-92.0725,16.2356,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,3,YOCNAJAB EL ROSARIO,19,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
