"33","033","FRANCISCO LEÓN","7","1",NULL,NULL,NULL
"34","034","FRONTERA COMALAPA","7","3",NULL,NULL,NULL
"35","035","FRONTERA HIDALGO","7","7",NULL,NULL,NULL
"36","036","LA GRANDEZA","7","10",NULL,NULL,NULL
"37","037","HUEHUETÁN","7","7",NULL,NULL,NULL
"38","038","HUIXTÁN","7","2",NULL,NULL,NULL
"39","039","HUITIUPÁN","7","5",NULL,NULL,NULL
"40","040","HUIXTLA","7","7",NULL,NULL,NULL
"41","041","LA INDEPENDENCIA","7","3",NULL,NULL,NULL
"42","042","IXHUATÁN","7","5",NULL,NULL,NULL
"43","043","IXTACOMITÁN","7","5",NULL,NULL,NULL
"44","044","IXTAPA","7","1",NULL,NULL,NULL
"45","045","IXTAPANGAJOYA","7","5",NULL,NULL,NULL
"46","046","JIQUIPILAS","7","1",NULL,NULL,NULL
"47","047","JITOTOL","7","5",NULL,NULL,NULL
"48","048","JUÁREZ","7","5",NULL,NULL,NULL
"49","049","LARRÁINZAR","7","2",NULL,NULL,NULL
"50","050","LA LIBERTAD","7","6",NULL,NULL,NULL
"51","051","MAPASTEPEC","7","7",NULL,NULL,NULL
"52","052","LAS MARGARITAS","7","3",NULL,NULL,NULL
"53","053","MAZAPA DE MADERO","7","10",NULL,NULL,NULL
"54","054","MAZATÁN","7","7",NULL,NULL,NULL
"55","055","METAPA","7","7",NULL,NULL,NULL
"56","056","MITONTIC","7","2",NULL,NULL,NULL
"57","057","MOTOZINTLA","7","10",NULL,NULL,NULL
"58","058","NICOLÁS RUÍZ","7","1",NULL,NULL,NULL
"59","059","OCOSINGO","7","9",NULL,NULL,NULL
"60","060","OCOTEPEC","7","1",NULL,NULL,NULL
"61","061","OCOZOCOAUTLA DE ESPINOSA","7","1",NULL,NULL,NULL
"62","062","OSTUACÁN","7","5",NULL,NULL,NULL
"63","063","OSUMACINTA","7","1",NULL,NULL,NULL
"64","064","OXCHUC","7","2",NULL,NULL,NULL
"65","065","PALENQUE","7","6",NULL,NULL,NULL
"66","066","PANTELHÓ","7","2",NULL,NULL,NULL
"67","067","PANTEPEC","7","5",NULL,NULL,NULL
"68","068","PICHUCALCO","7","5",NULL,NULL,NULL
"69","069","PIJIJIAPAN","7","8",NULL,NULL,NULL
"70","070","EL PORVENIR","7","10",NULL,NULL,NULL
"71","071","VILLA COMALTITLÁN","7","7",NULL,NULL,NULL
"72","072","PUEBLO NUEVO SOLISTAHUACÁN","7","5",NULL,NULL,NULL
"73","073","RAYÓN","7","5",NULL,NULL,NULL
"74","074","REFORMA","7","5",NULL,NULL,NULL
"75","075","LAS ROSAS","7","2",NULL,NULL,NULL
"76","076","SABANILLA","7","6",NULL,NULL,NULL
"77","077","SALTO DE AGUA","7","6",NULL,NULL,NULL
"78","078","SAN CRISTÓBAL DE LAS CASAS","7","2",NULL,NULL,NULL
"79","079","SAN FERNANDO","7","1",NULL,NULL,NULL
"80","080","SILTEPEC","7","10",NULL,NULL,NULL
"81","081","SIMOJOVEL","7","5",NULL,NULL,NULL
"82","082","SITALÁ","7","9",NULL,NULL,NULL
"83","083","SOCOLTENANGO","7","3",NULL,NULL,NULL
"84","084","SOLOSUCHIAPA","7","5",NULL,NULL,NULL
"85","085","SOYALÓ","7","1",NULL,NULL,NULL
"86","086","SUCHIAPA","7","1",NULL,NULL,NULL
"87","087","SUCHIATE","7","7",NULL,NULL,NULL
"88","088","SUNUAPA","7","5",NULL,NULL,NULL
"89","089","TAPACHULA","7","7",NULL,NULL,NULL
"90","090","TAPALAPA","7","5",NULL,NULL,NULL
"91","091","TAPILULA","7","5",NULL,NULL,NULL
"92","092","TECPATÁN","7","1",NULL,NULL,NULL
"93","093","TENEJAPA","7","2",NULL,NULL,NULL
"94","094","TEOPISCA","7","2",NULL,NULL,NULL
"96","096","TILA","7","6",NULL,NULL,NULL
"97","097","TONALÁ","7","8",NULL,NULL,NULL
"98","098","TOTOLAPA","7","1",NULL,NULL,NULL
"99","099","LA TRINITARIA","7","3",NULL,NULL,NULL
"100","100","TUMBALÁ","7","6",NULL,NULL,NULL
"101","101","TUXTLA GUTIÉRREZ","7","1",NULL,NULL,NULL
"102","102","TUXTLA CHICO","7","7",NULL,NULL,NULL
"103","103","TUZANTÁN","7","7",NULL,NULL,NULL
"104","104","TZIMOL","7","3",NULL,NULL,NULL
"105","105","UNIÓN JUÁREZ","7","7",NULL,NULL,NULL
"106","106","VENUSTIANO CARRANZA","7","1",NULL,NULL,NULL
"107","107","VILLA CORZO","7","4",NULL,NULL,NULL
"108","108","VILLAFLORES","7","4",NULL,NULL,NULL
"109","109","YAJALÓN","7","6",NULL,NULL,NULL
"110","110","SAN LUCAS","7","1",NULL,NULL,NULL
"111","111","ZINACANTÁN","7","2",NULL,NULL,NULL
"112","112","SAN JUAN CANCUC","7","2",NULL,NULL,NULL
"113","113","ALDAMA","7","2",NULL,NULL,NULL
"114","114","BENEMÉRITO DE LAS AMÉRICAS","7","6",NULL,NULL,NULL
"115","115","MARAVILLA TENEJAPA","7","3",NULL,NULL,NULL
"116","116","MARQUÉS DE COMILLAS","7","6",NULL,NULL,NULL
"117","117","MONTECRISTO DE GUERRERO","7","4",NULL,NULL,NULL
"118","118","SAN ANDRÉS DURAZNAL","7","5",NULL,NULL,NULL
"119","119","SANTIAGO EL PINAR","7","2",NULL,NULL,NULL
"120","120","Belisario Dominguez","7","1",NULL,NULL,NULL
"121","121","Emiliano Zapata","7","1",NULL,NULL,NULL
"122","122","Mezcalapa","7","1",NULL,NULL,NULL
"123","123","El Parral","7","4",NULL,NULL,NULL
